Numero,Pregunta,A,B,C,D
12,Ordena los párrafos para dar coherencia a la sucesión deeventos. 1.  Plutón; tal era el nombre del gato; se había convertidoen mi favorito y mi camarada. Sólo yo le daba de comer y él me seguía por todas partes en casa. Me costabamucho impedir que anduviera tras de mí en la calle 2.  Me casé joven y tuve la alegría de que mi esposa compartiera mis preferencias. Al observar mi gusto por los animales domésticos no perdía oportunidad de procurarme los más agradables entre ellos. Teníamos pájaros;peces de colores; un hermoso perro; conejos; un monoy un gato 3.  Nuestra amistad duró así varios años; en el curso de loscuales (enrojezco al confesarlo) mi temperamento y mi carácter se alteraron radicalmente por culpa del demonio “intemperancia”. Día a día me fui volviendo más melancólico; irritable e indiferente hacia los sentimientos ajenos 4.Este último era un animal de notable tamaño y hermosura;  completamente  negro  y  de  una  sagacidad asombrosa. Al referirse a su inteligencia; mi mujer; queen  el  fondo  era  no  poco  supersticiosa;  aludía  confrecuencia a la antigua creencia popular de que son brujas metamorfoseadas. No quiero decir que los creyera seriamente; y sólo menciono la cosa porque acabo de recordarla,A)1-2-4-3,B) 2-4-1-3,C)3-4-2-1,D) 4-2-1-3
13,Selecciona la opción que contiene una definición.,A) La literatura nos transporta a mundos nuevos,B) La música es una de las bellas artes,C) Esta pintura parece muy antigua,D) Aquella escultura fue elaborada por Da Vinci
14,Selecciona las opciones en donde el uso del punto y seguido es correcto.El pulso es el latido de la música(1)es como un movimiento que se repite de forma regular y constante(2)cuando un pulso tiene mayor intensidad(3)se dice que lleva acentomusical(4)se puede relacionar el pulso con los pasos al caminar(5)el tic tac del reloj y los latidos del corazón.,A)1;3,B)1;4,C) 2;4,D)3;5
15,Es  la  oración  subordinada  en  la  que  el punto y coma  se  utiliza correctamente.,A) María; la hija del maestro; no llegó a la fiesta,B)Con la feria; todos los niños se alegraron,C)Para dejar de fumar; Rodolfo se sometió a un tratamiento médico,D)Martín; preocupado por el trabajo; no fue a comer
16,Las fichas bibliográficas son útiles ya que la información de estas es:,A) importante para conocer a los grandes autores literarios,B) esencial para preservar y localizar los libros impresos,C) necesaria para ubicar las revistas especializadas,D) fundamental para tener organizada una librería
17,Elige  los  enunciados  que  deben  llevar  una  coma  comonexo.1.  Si hubiera leído las instrucciones no hubiera reprobado2.  Eso explica que ayer hayas llegado tarde a tu casa3.  El lunes visitaré a mi tío que está recién operado4.En el museo se exhiben las obras de Fernando Botero 5.Porque mañana tengo examen debo estudiar mucho,A)1 y 3,B) 1 y 5,C)2 y 3,D) 4 y 5
18,Relaciona el tipo de nexo con el enunciado que lo ejemplifica. Tipo de nexo: 1. Causal 2. Condicional 3. Concesivo - Enunciado: a)  Habrá juego de voleibol; siempre y cuando el clima sea el adecuado b)  Se han dado grandes avances en la ciencia; no obstante; la cura de algunas enfermedades no se ha encontrado c)  Los ciudadanos están inconformes;ya que las tarifas del servicio de gas son bastante altas,A) 1c; 2a; 3b,B)1b; 2a; 3c,C)1b; 2c; 3a,D)1a; 2b; 3c
19,¿A qué tipo de oración pertenece la siguiente frase? Si esta cumplía con su tributo podría ser liberado despuésde diez años.,A) Causal,B) Consecuencial,C) Condicional,D)Comparativa
20,¿Cuál  es  el  recurso  lingüístico  utilizado  en  el  siguiente texto? En la clase de Ciencias; un niño de once años le dice a lamaestra: —Maestra hoy en las noticias comentaron que el SIDA ha aumentado su porcentaje de infección; pero maestra; ¿qué es la enfermedad del SIDA? Ella pensó y contestó: “El SIDA consiste en la incapacidad de nuestras defensas  o  sistema  inmunológico  para  hacer  frente  a  las infecciones y otras enfermedades; son como los soldados que nos protegen de una invasión; la gripa no mata porque defiende nuestro sistema inmunológico; es decir; los soldados nos protegen”.,A)Paráfrasis,B)Ejemplificación,C)Repetición,D)Explicación
21,Enfermedades causadas por bacterias en las vías respiratorias.,A) Gonorrea y meningitis,B) Tétanos y difteria,C)Neumonía y tuberculosis,D)Encefalitis y poliomielitis
22,A la satisfacción de las necesidades actuales sin poner enpeligro  los  recursos  naturales;  logrando  un  crecimiento económico sin dañar a las generaciones futuras; se conoce como:,A) desarrollo sustentable,B) monitoreo comunitario,C) protocolo de Kyoto,D)impacto ambiental
23,Es el conjunto de características que permite a los individuossobrevivir y reproducirse en un ambiente determinado:,A)adaptación,B) evolución,C) selección natural,D) selección artificial
24,Elige la opción que completa correctamente el siguiente enunciado.Los organismos autótrofos; realizan la fotosíntesis gracias a la presencia de __________ para iniciar la producción de__________ con la cual los organismos heterótrofos obtienen energía para sus procesos vitales.,A) clorofila - glucosa,B) cloroplastos - ribosa,C) carotenoides - fructosa,D) cromoplastos - galactosa
25,Una característica que comparten la ciencia y la tecnologíaes que ambas:,A)buscan la solución de problemas específicos reales,B)estudian la dinámica de la sociedad,C) hacen uso básico y exhaustivo del método científico,D)venden los productos que se generan de su trabajo
26,¿Cuál de los siguientes organismos corresponde a un organismo productor? 1.Rana 2.Hongo 3.Conejo 4.Flor,A)1,B) 2,C) 3,D) 4
27,El albinismo en los humanos se caracteriza por la piel y elcabello blanco así como los ojos rosados debido a la falta de pigmentación; y aparece cuando una persona es homocigoto para el gen mutante TYR llamado tirosina.Una característica fenotípica del albinismo es:,A) la condición homocigoto,B) el mutante TYR,C) el gen llamado tirosina,D) los ojos rosados
28,Es una categoría taxonómica que se define como el conjunto de individuos capaces de entrecruzarse y dejar descendencia fértil:,A)familia,B)género,C) orden,D)especie
29,Son consecuencias de la acumulación del bióxido de carbono en la atmósfera; excepto:,A) lluvia ácida en las ciudades,B)deshielo de las masas polares,C)incremento de los periodos de sequías,D)largas temporadas de lluvias
30,¿Cuáles  son  los  productos  elaborados  en  el  organismo durante la respiración aerobia?,A) Bióxido de carbono; agua y energía (ATP),B) Oxígeno; agua y bióxido de carbono,C) Bióxido de carbono; agua y alcohol,D) Oxígeno; glucosa y energía (ATP)
31,Los siguientes son ejemplos de transformación de energía eléctrica en alguna otra forma de energía; excepto:,A) Campana sonando,B) Foco encendiendose,C) Licuadora en funcionamiento,D) Lluvia electrica sobre un arbol
32,Tomando en cuenta que la aceleración de la gravedad esaproximadamente 10 m/s2; ¿cuál es la masa de un cuerpo; en kilogramos; cuyo peso es de 25 N?,A)0.4,B) 0.8,C) 2.5,D) 5.0
33,Cuando sintonizamos una estación de radio en la banda de AM; la señal es más débil o posee menor energía que la de FM. Esto se debe a que sus ondas son de menor...,A) amplitud,B) frecuencia,C) longitud,D) periodo
34,Es la relación que existe entre una fuerza aplicada y el área sobre la que esta actúa.,A) Cohesión,B)Fluidez,C)Presión,D)Empuje
35,El modelo cinético de las partículas permite entender el comportamiento de la:,A)presión de los líquidos,B) flotación de los cuerpos,C) estructura de la materia,D) hidrodinámica
36,"Identifica en orden los números que representan los cambios de fase fusión; vaporación y deposición: Solido -1- Liquido; Liquido -2- Gas; Gas -3- Solido; Liquido -4- Solido; Gas -5- Liquido; Solido -6- Gas",A)1- 2- 3,B)1- 5- 6,C)2- 4- 5,D)3- 4- 6
37,Cuando un rayo de luz viaja por el aire y atraviesa por un vidrio cambia la dirección de su trayectoria debido al cambio en:,A) el color de la luz,B) la naturaleza de la luz,C) la velocidad de la luz,D)la cantidad de luz
38,Las líneas magnéticas del imán de una brújula salen por el_______ y llegan hacia el _______.,A)sur - norte,B) norte - sur,C) este - oeste,D) oeste - este
39,Es el proceso mediante el cual un cuerpo adquiere carga eléctrica a través de otro cuerpo cargado eléctricamente;esto sin que haya contacto entre ambos cuerpos.,A) Conducción,B) Frotamiento,C) Inducción,D) Ionización
40,Juan y María recorren una distancia de 600 m en un tiempo de 800 s. ¿Cuál es la rapidez con que hacen el recorrido?,A) 0.33 m/s,B)0.75 m/s,C)1.33 m/s,D)1.75 m/s
41,La masa de un mol de una sustancia expresada en gramosrecibe el nombre de:,A) masa molar,B)peso atómico,C)masa atómica,D)peso molecular
42,Completa el siguiente texto. La regla de __________________ establece que al formarun compuesto; los elementos químicos pueden ganar; perder o compartir electrones; hasta obtener un total de ocho en cada capa externa.,A) Aufbau,B) Lewis,C) Paulin,D) Bohr
43,Es la combinación física de dos o más sustancias.,A)Compuesto,B)Elemento,C)Mezcla,D)Molécula
44,¿Qué sustancia es considerada el disolvente universal?,A)Alcohol,B) Acetona,C) Agua,D) Vinagre
45,¿Qué le sucede a un átomo cuando se oxida?,A)Gana uno o más electrones,B) Pierde uno o más protones,C)Gana uno o más neutrones,D) Pierde uno o más electrones
46,En un frasco se vierten polvo de azufre y limadura de hierro. Al cerrar el frasco y agitarlo; se obtiene:,A) un óxido,B) un compuesto,C) una mezcla,D) un sulfuro
47,Completa el enunciado.En una ________________ hay una reorganización de losátomos formando nuevas sustancias.,A) fusión,B)reacción química,C)mezcla homogénea,D)destilación
48,Esta ley establece que; en un proceso químico; la masa permanece constante antes y después de la reacción.,A)Proust,B) Dalton,C) Lavoisier,D) Wenzel
49,Una  de  las  características  de  estas  sustancias  es  que  al entrar en contacto con el papel tornasol lo cambian a color rosa.,A) Básicas,B) Indicadoras,C) Ácidas,D) Neutras
50,Mendeleiev construyó la tabla periódica de los elementos; de acuerdo con:,A) los números atómicos,B)las masas atómicas,C)el número de neutrones,D)el número de electrones
51,Completa el siguiente enunciado. Entre  1822  y  ______  ;  __________  protagonizó  fallidos intentos para reconquistar México; cuya independencia había desconocido.,A) 1829 - España,B) 1838 - Francia,C) 1847 - Inglaterra,D) 1862 - Alemania
52,La principal actividad de la economía de los pueblos mesoamericanos fue la explotación:,A) agrícola,B)minera,C) maderera,D)artesanal
53,Se considera el efecto demográfico más importante de la Segunda Guerra Mundial:,A)millones de mutilados y heridos,B)millones de muertos civiles y militares,C)cantidad de refugiados,D) cantidad de desplazados
54,El  invento  de  James  Watt  que  transformó  el  comercioterrestre y marítimo durante la Revolución Industrial fue:,A) la locomotora,B) el motor a diesel,C) la máquina de vapor,D) el motor eléctrico
55,Son actividades económicas que se practicaron en México después de la llegada de los españoles. 1.  Agricultura2.  Herrería3.  Textiles4.Ganadería5.Alfarería6.Minería,A) 1; 3; 5,B)1; 4; 6,C) 2; 3; 5,D)2; 4; 6
56,La principal consecuencia de la llamada Paz Armada fue:,A)el inicio de la Primera Guerra Mundial,B)la Guerra del Opio entre Inglaterra y China,C)el rápido desarrollo de la industria petrolera,D)la creación de las Conferencias de París
57,Completa el enunciado.Durante el siglo XIX _____________; gracias a su poderío_____________; se convirtió en una nación hegemónicaimperialista.,A) Alemania - económico,B) Rusia - agrícola,C) Francia - naval,D) Inglaterra - industrial
58,¿Cuál es el principal contenido del Tratado de GuadalupeHidalgo?,A)Casi la mitad del territorio mexicano pasaría a ser parte de Estados Unidos,B)Inglaterra mediaría en el conflicto entre los gobiernos de Texas y México,C) Estados Unidos reclamaba la aplicación de la doctrina Monroe a su favor,D) Texas le declaraba la guerra a México por cambiar sus leyes constitucionales
59,Son factores que impulsan el desarrollo de la globalización; excepto:,A)libre comercio mundial,B)empresas multinacionales,C)privatizaciones masivas,D) tradicionalismo ideológico
60,Jerarquiza  la  organización  política  inicial  en  la  NuevaEspaña. 1.  Capitanía general 2.  Alcaldía mayor 3.  Corregimientos 4.  Real Audiencia 5.  Rey de España,A) 1- 3- 4- 2- 5,B) 1- 5- 4- 3- 2,C) 5- 1- 4- 2- 3,D) 5- 4- 1- 3- 2
61,Es una consecuencia positiva para los países receptores de inmigrantes.,A) Trabajadores especializados,B)Fortalecimiento de su economía,C) Mayor índice educativo,D) Envío de remesas
62,Las tradiciones son ejemplo de:,A)educación,B)multiculturalidad,C) interculturalidad,D)identidad cultural
63,Es el factor astronómico que influye en la dinámica terrestre; permitiendo el desarrollo de la vida en el planeta.,A) Distancia de la Tierra al Sol,B) Forma de la Tierra,C) Presencia de la Luna,D) Inclinación del eje terrestre
64,A la gran variedad de especies animales y vegetales en estrecha relación con su medio; se le denomina:,A) hábitat,B) medio,C)biodiversidad,D)lugar
65,Área natural en la que se protege el suelo; el agua y la vegetación.,A) Santuario,B)Parque nacional,C) Reserva de la biosfera,D) Área de protección de recursos naturales
66,Ordena las siguientes fases o procesos del ciclo hidrológico a partir de la evaporación. 1.  Precipitación 2.  Condensación 3.  Infiltración 4.  Escurrimiento,A) 1- 4- 3- 2,B) 2- 1- 4- 3,C) 3- 1- 4- 2,D) 4- 2- 1- 3
67,En ciudades fronterizas como Tijuana; Ciudad Juárez y Reynosa predomina la industria:,A)metalmecánica,B)pesada,C) maquiladora,D)ligera
68,Es la actividad económica que predomina en el sur del país:,A) industria,B) comercio,C)servicios,D)agricultura
69,Completa el siguiente enunciado. El ciclo _______________ es el más afectado por el fenómeno del cambio climático.,A) de las rocas,B) del agua,C) biológico,D) vital
70,Es la convivencia respetuosa entre los diferentes tipos de culturas; no solo entre naciones diferentes sino entre individuos.,A) Interculturalidad,B)Globalización cultural,C)Intercambio cultural,D)Multiculturalidad
71,La  dignidad  está  sustentada  en  el  valor  que  tiene  el  ser humano por:,A) sí mismo,B) sus actos morales,C) los éxitos logrados,D) lo que hace con su vida
72,Se cumple la condición de legalidad en un proceso electoral cuando:,A)los resultados se apegan a la ley,B)el presidente electo toma protesta,C)se termina el cómputo de los votos,D)no se presentan disturbios en las casillas
73,Enrique presiona mucho a su novia para iniciar su vida sexual activa; le dice que la quiere y que esa es la mejor manera de demostrarse su amor y si no accede la dejará.¿Qué tipo de violencia sexual ejerce sobre su novia?,A) Abuso,B)Acoso,C)Maltrato,D)Explotación
74,“Todo ciudadano mexicano tiene derecho a votar y ser votado”. La frase ejemplifica un tipo de garantía:,A) política,B) jurídica,C) social,D) moral
75,Un conjunto de reglas o normas se convierten en ley; solo cuando son:,A) percibidas por la sociedad en su conjunto como justas,B) dictadas por el Poder Legislativo de un estado,C)compatibles con su uso en la sociedad,D)admitidas por los órganos que imparten la justicia en la sociedad
76,Tienen carácter de obligatoriedad y pueden convertirse en leyes.,A)Reglas,B) Valores,C) Normas,D) Fines
77,Las siguientes son condiciones para que exista una convivencia democrática con base en leyes; excepto:,A) sean severas y se apliquen con justicia,B)sean aprobadas por la Cámara de Diputados,C) protejan los intereses de la iniciativa privada,D) estimulen la inversión y el desarrollo económico
78,El artículo 3° constitucional dispone que entre las obligaciones de los mexicanos está la de hacer que sus hijos o pupilos concurran a las escuelas públicas o privadas; para obtener la educación:,A) preescolar y primaria,B) laica y democrática,C) primaria y secundaria,D) laica y científica
79,Se compone por la superficie terrestre; mares; costas; subsuelo y espacio aéreo de una nación.,A)Territorio nacional,B)División política,C)Espacio geográfico,D)Límites urbanos
80,Los siguientes son casos en los que solo al interesado compete tomar la decisión; excepto:,A) Gabriela está embarazada; no sabe qué hacer y no quiere tener un hijo en este momento. Su hermana le recomienda abortar pues la ley lo permite,B) Marcos estudia el tercer año de secundaria y reprobó matemáticas de segundo año. Sus padres desean que se inscriba a un curso de matemáticas por las tardes para preparar su examen extraordinario; pero él prefiere practicar futbol,C) Nadia tiene novio pero recientemente conoció a un joven que despertó su interés. Su mejor amiga le propone dejar a su novio para que inicie un noviazgo con el nuevo chico,D)Hugo quiere ser médico; pero se ha dado cuenta de que su verdadera vocación es la música. Sus padres lo motivan para que siga con sus estudios de medicina
